"mate"	"(Moby_Dick.txt, 52)"
"mates"	"(Moby_Dick.txt, 21)"
"matter"	"(Moby_Dick.txt, 29), (Hamlet.txt, 12), (Adventures_of_Huckleberry_Finn.txt, 6)"
"may"	"(Moby_Dick.txt, 24), (Hamlet.txt, 4), (Adventures_of_Huckleberry_Finn.txt, 1)"
"me"	"(Moby_Dick.txt, 290), (Adventures_of_Huckleberry_Finn.txt, 265), (Hamlet.txt, 65)"
"men"	"(Moby_Dick.txt, 131), (Adventures_of_Huckleberry_Finn.txt, 15), (Hamlet.txt, 1)"
"mind"	"(Adventures_of_Huckleberry_Finn.txt, 28), (Moby_Dick.txt, 25), (Hamlet.txt, 2)"
"mine"	"(Moby_Dick.txt, 27), (Hamlet.txt, 7), (Adventures_of_Huckleberry_Finn.txt, 6)"
"minute"	"(Adventures_of_Huckleberry_Finn.txt, 44), (Moby_Dick.txt, 6), (Hamlet.txt, 1)"
"mo"	"(Adventures_of_Huckleberry_Finn.txt, 25)"
"moment"	"(Moby_Dick.txt, 41), (Hamlet.txt, 1), (Adventures_of_Huckleberry_Finn.txt, 1)"
"money"	"(Adventures_of_Huckleberry_Finn.txt, 33), (Moby_Dick.txt, 6), (Hamlet.txt, 2)"
"more"	"(Adventures_of_Huckleberry_Finn.txt, 85), (Moby_Dick.txt, 72), (Hamlet.txt, 13)"
"morning"	"(Moby_Dick.txt, 38), (Adventures_of_Huckleberry_Finn.txt, 25)"
"mother"	"(Hamlet.txt, 22), (Moby_Dick.txt, 8), (Adventures_of_Huckleberry_Finn.txt, 4)"
"mouth"	"(Moby_Dick.txt, 39), (Hamlet.txt, 5), (Adventures_of_Huckleberry_Finn.txt, 5)"
"mr"	"(Moby_Dick.txt, 63), (Adventures_of_Huckleberry_Finn.txt, 23)"
"much"	"(Adventures_of_Huckleberry_Finn.txt, 21), (Moby_Dick.txt, 17), (Hamlet.txt, 1)"
"myself"	"(Adventures_of_Huckleberry_Finn.txt, 52), (Moby_Dick.txt, 25)"
"n"	"(Adventures_of_Huckleberry_Finn.txt, 57), (Moby_Dick.txt, 8), (Hamlet.txt, 2)"
"name"	"(Moby_Dick.txt, 23), (Adventures_of_Huckleberry_Finn.txt, 15), (Hamlet.txt, 4)"
"nantucket"	"(Moby_Dick.txt, 49)"
"nay"	"(Moby_Dick.txt, 27), (Hamlet.txt, 15)"
"nevertheless"	"(Moby_Dick.txt, 37)"
"nigger"	"(Adventures_of_Huckleberry_Finn.txt, 61)"
"night"	"(Moby_Dick.txt, 87), (Adventures_of_Huckleberry_Finn.txt, 60), (Hamlet.txt, 20)"
"no"	"(Adventures_of_Huckleberry_Finn.txt, 127), (Moby_Dick.txt, 88), (Hamlet.txt, 23)"
"nor"	"(Moby_Dick.txt, 22)"
"not"	"(Moby_Dick.txt, 61), (Hamlet.txt, 35), (Adventures_of_Huckleberry_Finn.txt, 12)"
"nothing"	"(Adventures_of_Huckleberry_Finn.txt, 58), (Moby_Dick.txt, 22), (Hamlet.txt, 9)"
